transcript,Gene Ontology IDs
TRINITY_GG_15259_c22_g1_i1.p1,GO:0000012; GO:0003697; GO:0003725; GO:0005634; GO:0005654; GO:0005730; GO:0006302; GO:0030983; GO:0033699; GO:0046872; GO:0120108; GO:1990165
TRINITY_GG_13281_c2_g1_i2.p1,GO:0000014; GO:0000110; GO:0000712; GO:0000724; GO:0003684; GO:0003697; GO:0006289; GO:0006296; GO:0006298; GO:0006302; GO:0006310; GO:0006974; GO:0007131; GO:0007143; GO:0016321; GO:0030716; GO:0032991; GO:0045132; GO:0046982; GO:1901255
TRINITY_GG_25819_c4_g1_i8.p1,GO:0000014; GO:0000381; GO:0000956; GO:0001069; GO:0003231; GO:0003697; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0008380; GO:0010467; GO:0010976; GO:0022008; GO:0032024; GO:0033119; GO:0035307; GO:0036002; GO:0043484; GO:0043565; GO:0044306; GO:0045595; GO:0045665; GO:0045727; GO:0045944; GO:0048025; GO:0051148; GO:0070886; GO:0070935; GO:0075522; GO:1904411
TRINITY_GG_12849_c11_g1_i4.p1,GO:0000014; GO:0000723; GO:0002250; GO:0003684; GO:0005654; GO:0005794; GO:0006302; GO:0006303; GO:0006310; GO:0008409; GO:0010212; GO:0030183; GO:0031848; GO:0033151; GO:0035312; GO:0036297; GO:0051276; GO:0070419
TRINITY_GG_17388_c19_g1_i6.p2,GO:0000014; GO:0000729; GO:0000737; GO:0000793; GO:0003677; GO:0003690; GO:0003697; GO:0004519; GO:0005634; GO:0005730; GO:0006303; GO:0006325; GO:0008270; GO:0008283; GO:0010452; GO:0015074; GO:0016571; GO:0031297; GO:0035861; GO:0042054; GO:0042800; GO:0042803; GO:0044547; GO:0044774; GO:0045892; GO:0046975; GO:0051568; GO:0090305; GO:0097676; GO:2000373; GO:2001034; GO:2001251
TRINITY_GG_22961_c5_g1_i1.p1,GO:0000014; GO:0000737; GO:0004519; GO:0004520; GO:0004521; GO:0005634; GO:0005739; GO:0005743; GO:0006309; GO:0006401; GO:0042803; GO:0043565; GO:0046872; GO:1990238
TRINITY_GG_13224_c18_g1_i1.p1,GO:0000015; GO:0000287; GO:0004634; GO:0005737; GO:0005886; GO:0006096; GO:0042593; GO:0061621
TRINITY_GG_8018_c12_g1_i1.p1,GO:0000018; GO:0000346; GO:0000347; GO:0000445; GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006396; GO:0006397; GO:0006406; GO:0006915; GO:0007165; GO:0008380; GO:0016363; GO:0016607; GO:0031297; GO:0032784; GO:0032786; GO:0046784; GO:0048297; GO:2000002
TRINITY_GG_20932_c3_g1_i2.p1,GO:0000022; GO:0000122; GO:0000775; GO:0000791; GO:0005634; GO:0005635; GO:0005643; GO:0005652; GO:0005654; GO:0005730; GO:0005737; GO:0005819; GO:0006325; GO:0006338; GO:0006355; GO:0006406; GO:0006606; GO:0007094; GO:0007346; GO:0007549; GO:0009408; GO:0010965; GO:0016363; GO:0017056; GO:0030496; GO:0031490; GO:0031965; GO:0034399; GO:0034976; GO:0035035; GO:0042405; GO:0043021; GO:0045840; GO:0045944; GO:0048133; GO:0051225; GO:0051233; GO:0051781; GO:0060236; GO:0060250; GO:0070090; GO:0072686; GO:0090235; GO:0090267; GO:0090316; GO:1901673; GO:1990047
TRINITY_GG_11560_c10_g1_i1.p1,GO:0000022; GO:0000132; GO:0000278; GO:0000776; GO:0000922; GO:0005737; GO:0005813; GO:0005819; GO:0007029; GO:0007052; GO:0007143; GO:0007344; GO:0007411; GO:0008017; GO:0015631; GO:0016325; GO:0030951; GO:0031122; GO:0035371; GO:0045196; GO:0045450; GO:0046785; GO:0048477; GO:0051010; GO:0051298; GO:0061863; GO:0090063
TRINITY_GG_16455_c3_g1_i2.p1,GO:0000022; GO:0005524; GO:0005694; GO:0005811; GO:0005813; GO:0005819; GO:0005874; GO:0007026; GO:0007079; GO:0007399; GO:0008017; GO:0008021; GO:0008344; GO:0008568; GO:0016021; GO:0016853; GO:0016887; GO:0030154; GO:0031117; GO:0031594; GO:0034214; GO:0035099; GO:0043195; GO:0045834; GO:0045886; GO:0045887; GO:0048691; GO:0050775; GO:0051013; GO:0051301; GO:1900074; GO:1900075; GO:2000331
TRINITY_GG_10371_c4_g1_i1.p1,GO:0000026; GO:0000030; GO:0004376; GO:0005789; GO:0006506; GO:0016021
TRINITY_GG_10952_c16_g1_i5.p2,GO:0000026; GO:0000030; GO:0005783; GO:0005789; GO:0006506; GO:0016021
