transcript,Gene Ontology IDs
TRINITY_GG_7098_c2_g1_i3.p1,GO:0000122; GO:0001835; GO:0004407; GO:0005634; GO:0005829; GO:0006325; GO:0006915; GO:0016575; GO:0016580; GO:0016604; GO:0019899; GO:0030336; GO:0030512; GO:0042802; GO:0042826; GO:0043065; GO:0045892; GO:0070822; GO:1902455; GO:1902459
TRINITY_GG_7185_c30_g1_i1.p1,GO:0000122; GO:0002091; GO:0005109; GO:0005137; GO:0005546; GO:0005654; GO:0005737; GO:0005789; GO:0005829; GO:0005856; GO:0005886; GO:0005895; GO:0005912; GO:0005925; GO:0007265; GO:0007268; GO:0007346; GO:0008022; GO:0008284; GO:0010718; GO:0010862; GO:0019838; GO:0030036; GO:0030307; GO:0030335; GO:0030511; GO:0031965; GO:0032435; GO:0042043; GO:0042327; GO:0042470; GO:0042802; GO:0044877; GO:0045121; GO:0045202; GO:0045545; GO:0046875; GO:0046982; GO:0047485; GO:0050839; GO:0070062; GO:0099054; GO:1903543; GO:1903553
TRINITY_GG_21676_c60_g1_i3.p1,GO:0000122; GO:0003677; GO:0003682; GO:0005634; GO:0010468; GO:0022008; GO:0042054; GO:0046872; GO:0061629
TRINITY_GG_15290_c21_g1_i3.p1,GO:0000122; GO:0005634; GO:0006357; GO:0033085; GO:0046872
TRINITY_GG_415_c11_g1_i1.p1,GO:0000122; GO:0005669; GO:0006352; GO:0006366; GO:0012501; GO:0014070; GO:0030307; GO:0033276; GO:0043066; GO:0046982; GO:0050821
TRINITY_GG_8197_c13_g1_i1.p1,GO:0000122; GO:0005829; GO:0006457; GO:0008134; GO:0009408; GO:0042691; GO:0050821; GO:0051082; GO:0051085; GO:0051087
TRINITY_GG_17756_c25_g1_i7.p1,GO:0000123; GO:0001654; GO:0003682; GO:0003700; GO:0005634; GO:0005700; GO:0005704; GO:0006325; GO:0007482; GO:0007507; GO:0008023; GO:0008157; GO:0008270; GO:0008354; GO:0016571; GO:0016573; GO:0032968; GO:0035097; GO:0042800; GO:0042802; GO:0042803; GO:0043565; GO:0043966; GO:0044665; GO:0045893; GO:0045944; GO:0051568; GO:0106363
TRINITY_GG_9452_c3_g1_i3.p2,GO:0000127; GO:0000995; GO:0003677; GO:0005654; GO:0006383; GO:0016604
TRINITY_GG_9102_c13_g1_i1.p1,GO:0000132; GO:0005886; GO:0005938; GO:0007399; GO:0008093; GO:0008356; GO:0009786; GO:0019904; GO:0030154; GO:0030674; GO:0031647; GO:0032991; GO:0045176; GO:0045179
TRINITY_GG_12630_c7_g1_i1.p1,GO:0000139; GO:0001517; GO:0005794; GO:0005802; GO:0005975; GO:0006044; GO:0006790; GO:0016021; GO:0018146; GO:0045130
TRINITY_GG_9084_c4_g1_i1.p1,GO:0000139; GO:0001701; GO:0003827; GO:0005797; GO:0006013; GO:0006049; GO:0006487; GO:0016021; GO:0016262; GO:0018279; GO:0030145; GO:0048471
TRINITY_GG_18315_c0_g1_i1.p1,GO:0000139; GO:0001744; GO:0005795; GO:0006486; GO:0006688; GO:0007219; GO:0007293; GO:0007298; GO:0007299; GO:0008194; GO:0016021; GO:0016333; GO:0016757; GO:0030707; GO:0042248; GO:0046981; GO:0047915
TRINITY_GG_7329_c13_g1_i1.p1,GO:0000139; GO:0001745; GO:0001881; GO:0003779; GO:0003924; GO:0005525; GO:0005764; GO:0005776; GO:0005794; GO:0005829; GO:0006886; GO:0006887; GO:0006890; GO:0006891; GO:0007293; GO:0007411; GO:0007602; GO:0008103; GO:0016192; GO:0031410; GO:0032482; GO:0042147; GO:0043025; GO:0043204; GO:0045202; GO:0045451; GO:0045467; GO:0050832; GO:0060078; GO:0070161; GO:0140450
TRINITY_GG_17787_c15_g1_i1.p1,GO:0000139; GO:0003677; GO:0003723; GO:0005524; GO:0005793; GO:0005802; GO:0006259; GO:0007030; GO:0008094; GO:0009986; GO:0016020; GO:0016460; GO:0016477; GO:0031032; GO:0032982; GO:0042641; GO:0043030; GO:0043066; GO:0043531; GO:0048194; GO:0050714; GO:0051015; GO:0090161; GO:0090164; GO:1903028
TRINITY_GG_19128_c26_g1_i6.p1,GO:0000139; GO:0004402; GO:0004596; GO:0005737; GO:0006325; GO:0007059; GO:0010485; GO:0016573; GO:0017196; GO:0043966; GO:0043967
TRINITY_GG_8527_c0_g1_i1.p1,GO:0000139; GO:0004653; GO:0005794; GO:0005795; GO:0006493; GO:0009312; GO:0016021; GO:0018243; GO:0030246; GO:0046872
TRINITY_GG_13286_c37_g1_i1.p1,GO:0000139; GO:0004672; GO:0004674; GO:0005524; GO:0006468; GO:0016021; GO:0030424; GO:0030425; GO:0046872; GO:0106310
TRINITY_GG_18093_c4_g1_i3.p1,GO:0000139; GO:0005096; GO:0005737; GO:0005769; GO:0005829; GO:0006909; GO:0016020; GO:0022409; GO:0030424; GO:0030425; GO:0031267; GO:0042803; GO:0043025; GO:0043087; GO:0043547; GO:0045665; GO:0050766; GO:0051056; GO:0051649; GO:0090630; GO:0098609; GO:1903697; GO:1904425; GO:1904442; GO:1990792
TRINITY_GG_18314_c23_g1_i2.p1,GO:0000139; GO:0005198; GO:0005783; GO:0005793; GO:0006886; GO:0006888; GO:0006891; GO:0009306; GO:0030126; GO:0072384
TRINITY_GG_10507_c5_g1_i2.p1,GO:0000139; GO:0005319; GO:0005524; GO:0005764; GO:0005765; GO:0005770; GO:0005794; GO:0005886; GO:0006869; GO:0008203; GO:0010745; GO:0010874; GO:0016021; GO:0031902; GO:0033344; GO:0034375; GO:0042626; GO:0042632; GO:0043231; GO:0043691; GO:0140359; GO:1903064
TRINITY_GG_12552_c43_g1_i6.p3,GO:0000139; GO:0005537; GO:0005615; GO:0005789; GO:0005793; GO:0005794; GO:0005887; GO:0006888; GO:0006890; GO:0007029; GO:0007030; GO:0009986; GO:0015031; GO:0030134; GO:0030137; GO:0031072; GO:0031410; GO:0046872; GO:0048471; GO:0050766; GO:0070382
TRINITY_GG_7329_c14_g1_i1.p1,GO:0000139; GO:0005783; GO:0005789; GO:0005794; GO:0006024; GO:0006044; GO:0006486; GO:0007411; GO:0008354; GO:0008375; GO:0008589; GO:0015012; GO:0015014; GO:0015020; GO:0016021; GO:0016055; GO:0016757; GO:0030210; GO:0030513; GO:0045880; GO:0046872; GO:0050508; GO:0050509; GO:0090263
TRINITY_GG_21680_c4_g1_i1.p2,GO:0000139; GO:0005783; GO:0005794; GO:0006605; GO:0006612; GO:0008277; GO:0016021; GO:0016409; GO:0018230; GO:0018345; GO:0019705; GO:0019706; GO:0032230; GO:0036462; GO:0042803; GO:0044873; GO:0072659; GO:0140439; GO:1902685; GO:1903546
TRINITY_GG_8050_c38_g1_i5.p2,GO:0000139; GO:0005794; GO:0016021; GO:0035269; GO:0120053
TRINITY_GG_5790_c9_g1_i1.p1,GO:0000139; GO:0005801; GO:0006886; GO:0006888; GO:0006891; GO:0017119
TRINITY_GG_9275_c4_g1_i1.p1,GO:0000145; GO:0000212; GO:0000916; GO:0005737; GO:0005886; GO:0006887; GO:0006893; GO:0007009; GO:0007110; GO:0007111; GO:0007268; GO:0007269; GO:0007286; GO:0007298; GO:0009925; GO:0015031; GO:0016020; GO:0016028; GO:0016080; GO:0016081; GO:0016192; GO:0016324; GO:0032584; GO:0045202; GO:0045887; GO:0046718; GO:0050803; GO:0090522; GO:0098793
TRINITY_GG_9448_c26_g1_i4.p1,GO:0000149; GO:0000281; GO:0005484; GO:0005765; GO:0005886; GO:0006886; GO:0006887; GO:0006906; GO:0007269; GO:0007274; GO:0007317; GO:0007349; GO:0007482; GO:0008021; GO:0012505; GO:0016021; GO:0016081; GO:0016192; GO:0017157; GO:0030672; GO:0031201; GO:0031629; GO:0043195; GO:0048278; GO:0048787; GO:0070161
TRINITY_GG_13148_c7_g1_i1.p1,GO:0000149; GO:0005484; GO:0005737; GO:0005886; GO:0006887; GO:0006906; GO:0007269; GO:0007274; GO:0016020; GO:0016081; GO:0016082; GO:0016192; GO:0019905; GO:0031201; GO:0031629; GO:0043195; GO:0048172; GO:0048489; GO:0070161
TRINITY_GG_8273_c26_g1_i5.p2,GO:0000149; GO:0006886; GO:0007040; GO:0007269; GO:0008021; GO:0008333; GO:0016020; GO:0016079; GO:0016082; GO:0031083; GO:0032418; GO:0042592; GO:0061909; GO:0099078; GO:2000300
TRINITY_GG_2870_c41_g1_i11.p2,GO:0000151; GO:0004842; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0006511; GO:0007605; GO:0008270; GO:0016274; GO:0016567; GO:0042981
